Relative_Residual,Relative_Normal_Residual,Objective,Relative_Reconstruction_Error,Solver,Runtime_s,Iterations,Converged,Info,Lambda,Repeat,N,M,Views,Noise_Level,Tolerance,Max_Iterations
0.00027198166141864145,1.054379321093091e-05,112.77724661212842,0.23955190559362988,CG,771.6213799170218,120,False,120,0.0001,1,1048576,65536,64,0.002,1e-06,120
0.0008067108484828685,3.086053540365726e-05,965.6961693766827,1.8409878419286452,PCG,772.3730255658738,120,False,120,0.0001,1,1048576,65536,64,0.002,1e-06,120
0.0002735157672776988,7.825250921238583e-06,113.98306128261466,0.23955508527346847,LSQR,774.481832053978,120,False,7,0.0001,1,1048576,65536,64,0.002,1e-06,120
0.0002897901694708677,1.7556691565194014e-06,127.1907088982472,0.23957511685353444,LSMR,773.1994242118672,120,False,7,0.0001,1,1048576,65536,64,0.002,1e-06,120
0.0002783863528823874,9.082652961244768e-06,117.85720437045673,0.2395696306825764,CG,771.8182593411766,120,False,120,0.0001,2,1048576,65536,64,0.002,1e-06,120
0.0008053566356366614,2.6970702256570953e-05,962.5596685811395,1.8409811745305982,PCG,771.9713547490537,120,False,120,0.0001,2,1048576,65536,64,0.002,1e-06,120
0.0002781840435603602,7.960428412742554e-06,117.69503093390965,0.23957256426886583,LSQR,774.4242638908327,120,False,7,0.0001,2,1048576,65536,64,0.002,1e-06,120
0.00029334586091188164,1.7255568781825607e-06,130.17956206964985,0.23959821664986725,LSMR,772.8498358153738,120,False,7,0.0001,2,1048576,65536,64,0.002,1e-06,120
0.00027907214837954753,1.0123729735178654e-05,174.1284824331623,0.23955054254967667,CG,772.4356753537431,120,False,120,0.001,1,1048576,65536,64,0.002,1e-06,120
0.0008129540924587521,2.575210583552581e-05,1232.4278871552076,1.8410581988077548,PCG,771.9419484441169,120,False,120,0.001,1,1048576,65536,64,0.002,1e-06,120
0.0002810475466929094,9.472411271969902e-06,175.7242700875698,0.23955927254503748,LSQR,774.7881023967639,120,False,7,0.001,1,1048576,65536,64,0.002,1e-06,120
0.00029687795540230124,1.7647322834087217e-06,188.8916461051619,0.23958030048563017,LSMR,766.6605129633099,120,False,7,0.001,1,1048576,65536,64,0.002,1e-06,120
0.00027603258173637175,7.862940963201646e-06,171.69958399924002,0.23956359646711028,CG,753.488899090793,120,False,120,0.001,2,1048576,65536,64,0.002,1e-06,120
0.0008083472201069914,3.14373012816306e-05,1221.6834835055263,1.8411444860970867,PCG,753.3006598800421,120,False,120,0.001,2,1048576,65536,64,0.002,1e-06,120
0.00027685482370587926,8.475105526454975e-06,172.35687799113512,0.23957386936237565,LSQR,756.367402068805,120,False,7,0.001,2,1048576,65536,64,0.002,1e-06,120
0.0002922114140765546,1.7644134361158862e-06,184.93421764892474,0.2395837337273173,LSMR,754.1880423058756,120,False,7,0.001,2,1048576,65536,64,0.002,1e-06,120
0.00027547024817912584,7.412309904801499e-06,728.4888961214259,0.2395519692453466,CG,753.2058790349402,120,False,120,0.01,1,1048576,65536,64,0.002,1e-06,120
0.0008211871912815974,3.196613512487077e-05,3773.9314357669546,1.8412352221036432,PCG,753.9225672879256,120,False,120,0.01,1,1048576,65536,64,0.002,1e-06,120
0.0002857644177849018,1.7183781917252823e-05,736.9088003234233,0.23960643592739084,LSQR,756.6063869651407,120,False,7,0.01,1,1048576,65536,64,0.002,1e-06,120
0.00029159791837666177,1.7750987112411749e-06,741.5500603166915,0.2395788208910826,LSMR,755.0255735469982,120,False,7,0.01,1,1048576,65536,64,0.002,1e-06,120
0.0002759781825174842,1.5133512047209066e-05,728.8928264801832,0.2395921490809483,CG,753.5584693918936,120,False,120,0.01,2,1048576,65536,64,0.002,1e-06,120
0.000815252288207722,2.733265142177968e-05,3759.568931745783,1.8411011184994333,PCG,753.288320761174,120,False,120,0.01,2,1048576,65536,64,0.002,1e-06,120
0.0002846335874616653,1.7561258710173964e-05,735.9747448578885,0.23965507185740617,LSQR,756.128624307923,120,False,7,0.01,2,1048576,65536,64,0.002,1e-06,120
0.00029134723273102045,1.787260658428096e-06,741.335215715443,0.23960303631988028,LSMR,755.4776148586534,120,False,7,0.01,2,1048576,65536,64,0.002,1e-06,120
