m,n,Condition Parameter,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
5000,15000,1000,0.95,random,exponential,0.01,LSQR,3.4482410098891707,0.023078689064374037,342.7,0.43933735177395494,0.8148466033892167
5000,15000,1000,0.95,random,exponential,0.1,CG,2.707963058585301,0.020416098772568825,267.6,3.8391135031981145,0.8156665435306023
5000,15000,1000,0.95,random,exponential,0.1,LSMR,2.5466188699472694,0.013951362619349221,253.0,3.839113518301289,0.8156665439274301
5000,15000,1000,0.95,random,exponential,0.1,LSQR,2.7575876713730394,0.01813940921843894,273.5,3.839113502435713,0.8156665435148588
5000,15000,1000,0.95,random,exponential,1.0,CG,1.4794120240646105,0.06144894557130847,143.2,21.930194069776363,0.8305390081040553
5000,15000,1000,0.95,random,exponential,1.0,LSMR,1.3768406514117184,0.07853950864322275,131.9,21.930194077506577,0.8305390100752797
5000,15000,1000,0.95,random,exponential,1.0,LSQR,1.5278889144576775,0.3094275869194833,139.0,21.930194068958084,0.8305390082295329
5000,15000,1000,0.95,random,linear,1.0,CG,0.5084656534250825,0.004357514585739665,50.0,6.363343951893991,0.81554622282175
5000,15000,1000,0.95,random,linear,1.0,LSMR,0.5324747178237885,0.005168998098962549,51.1,6.363343951970348,0.8155462228215274
5000,15000,1000,0.95,random,linear,1.0,LSQR,0.5469587224535644,0.008127579449423002,52.1,6.363343951865831,0.8155462228204116
5000,15000,1000,0.95,random,polynomial,1.0,CG,0.7745974971912801,0.005011458253904571,76.8,9.984763984299793,0.8155797740142854
5000,15000,1000,0.95,random,polynomial,1.0,LSMR,0.7836248557781801,0.006358579468209923,75.8,9.984763984890046,0.8155797740203846
5000,15000,1000,0.95,random,polynomial,1.0,LSQR,0.8126125717768445,0.009175236878908765,78.2,9.984763984280779,0.8155797740137218
5000,15000,1000,0.98,random,exponential,1.0,CG,0.41130334408953784,0.0030833880750297383,101.7,24.45038910513255,0.8461752276761519
