Solver,Lambda,Time (s),Iterations,Residual,Relative Residual,Normal Equation Residual,Relative Normal Equation Residual,Objective,Info,Converged,Preconditioner,Matrix-Free,Dataset,Group,m,n,Nonzeros,Density,RHS Type,Run,RTOL,Max Iterations
PCG,0.001,14.404582639690489,3007,0.18129911142476177,0.0027194123158064804,1.8147179526811482e-06,9.875393534777934e-09,3.4325043881080943,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSQR,0.001,9.204563457984477,1666,0.18129894998999965,0.0027194098943512574,5.761806111829164e-06,3.13547913830548e-08,3.432504388224952,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSMR,0.001,7.292703718878329,1370,0.18130025114810733,0.0027194294111892335,5.385563397805388e-06,2.9307341056083506e-08,3.432504402572847,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
PCG,0.01,4.036518631037325,835,0.8196132463929536,0.012293862550805154,1.8105094065817804e-06,9.85249132626718e-09,33.36904668208161,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSQR,0.01,3.3002032288350165,606,0.8196132094424485,0.012293861996562733,1.0156132116166406e-05,5.526798326437374e-08,33.36904668218667,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
LSMR,0.01,2.8424455150961876,533,0.8196133620516132,0.012293864285637612,1.0419900860233168e-05,5.67033689373842e-08,33.3690466872041,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
PCG,0.01,4.0780652510002255,835,0.8196132463929536,0.012293862550805154,1.8105094065817804e-06,9.85249132626718e-09,33.36904668208161,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSQR,0.01,3.3192080189473927,606,0.8196132094424485,0.012293861996562733,1.0156132116166406e-05,5.526798326437374e-08,33.36904668218667,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
LSMR,0.01,3.0014158710837364,533,0.8196133620516132,0.012293864285637612,1.0419900860233168e-05,5.67033689373842e-08,33.3690466872041,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,2,1e-08,5000
PCG,0.01,4.379754572175443,835,0.8196132463929536,0.012293862550805154,1.8105094065817804e-06,9.85249132626718e-09,33.36904668208161,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSQR,0.01,3.5849977908656,606,0.8196132094424485,0.012293861996562733,1.0156132116166406e-05,5.526798326437374e-08,33.36904668218667,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
LSMR,0.01,2.9817302017472684,533,0.8196133620516132,0.012293864285637612,1.0419900860233168e-05,5.67033689373842e-08,33.3690466872041,2,True,None,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,3,1e-08,5000
PCG,0.1,1.0977322678081691,210,6.163365539903321,0.09244795533918526,1.6618934543904266e-06,9.04374801093986e-09,291.58900146110284,0,True,Jacobi diagonal,True,Maragal_8,NYPA,33212,75077,1308415,0.0005247392796364538,constructed: A @ ones,1,1e-08,5000
