Experiment,m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Time (s),Iterations,Residual,Relative Error,Run,Info
5,1000,100,10,0.8,block,linear,1.0,LSMR,0.0009890468791127205,7,2.487565110654125,0.9279921492434582,10,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.0035802070051431656,1,1.5948362548757344,0.9674323490557822,1,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.003538286779075861,1,1.8328402825041437,0.9610308228192803,2,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.003497266210615635,1,2.0647539343015007,0.9539331097530033,3,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.0035199159756302834,1,1.7937627681417174,0.9608180677129663,4,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.003515546675771475,1,1.8137040590947753,0.9590514755867378,5,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.0035362658090889454,1,1.889720115544867,0.9658290216681151,6,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.0035491962917149067,1,1.8678760531956138,0.9620678717689038,7,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.003550227265805006,1,1.9756262937686586,0.9566623646776745,8,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.003511686809360981,1,2.2431199259429055,0.9525260872130912,9,
6,1000,100,10,0.8,block,exponential,1.0,Direct,0.0035132262855768204,1,1.9202106738776274,0.9597524955335719,10,
6,1000,100,10,0.8,block,exponential,1.0,CG,0.00030531175434589386,7,1.5948362548757344,0.9674323490752952,1,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.0002885023131966591,7,1.8328402825041437,0.9610308228787572,2,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.00030935322865843773,8,2.0647539343015007,0.9539331097557898,3,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.00029192306101322174,7,1.7937627681417176,0.9608180677351368,4,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.00028287293389439583,7,1.8137040590947755,0.9590514756097942,5,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.0002799723297357559,7,1.8897201155448673,0.9658290216909365,6,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.00029082177206873894,7,1.867876053195614,0.9620678717992867,7,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.00028342194855213165,7,1.9756262937686588,0.956662364708522,8,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.0002949228510260582,7,2.2431199259429055,0.9525260872343614,9,0.0
6,1000,100,10,0.8,block,exponential,1.0,CG,0.00027313176542520523,7,1.9202106738776277,0.9597524955600716,10,0.0
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.0009868168272078037,7,1.5948362548757344,0.9674323490752952,1,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.0009519169107079506,7,1.8328402825041437,0.9610308228787572,2,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.0009572780691087246,7,2.064753934301501,0.9539331097935596,3,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.0009566759690642357,7,1.7937627681417176,0.9608180677351368,4,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.000945196021348238,7,1.8137040590947755,0.9590514756097942,5,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.0009400066919624805,7,1.889720115544867,0.9658290216909365,6,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.0009536473080515862,7,1.8678760531956138,0.9620678717992867,7,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.0009510167874395847,7,1.9756262937686586,0.956662364708522,8,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.0009441268630325794,7,2.243119925942905,0.9525260872343614,9,
6,1000,100,10,0.8,block,exponential,1.0,LSQR,0.000944577157497406,7,1.9202106738776277,0.9597524955600716,10,
