m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
1000,100,10,0.0,random,exponential,0,CG,0.0011772091500461101,1.7791608302374194e-05,65.4,0.30003456157709246,0.047404797153429344
1000,100,10,0.0,random,exponential,0,Direct,0.0008267543278634548,2.9652379114236267e-05,1.0,0.3000345615770682,0.04740479920028349
1000,100,10,0.0,random,exponential,0,LSMR,0.006672721542418003,0.00011031171874323649,66.8,0.30003456157708264,0.04740479750526978
1000,100,10,0.0,random,exponential,0,LSQR,0.006722307857125997,7.332798873898371e-05,68.8,0.300034561577072,0.047404797883078
1000,500,10,0.0,random,exponential,0,CG,0.006478293891996145,5.111520302152107e-05,81.6,0.22309331944194125,0.046276019303257906
1000,500,10,0.0,random,exponential,0,Direct,0.011876363959163427,7.299048989095395e-05,1.0,0.22309331944184435,0.0462760198917687
1000,500,10,0.0,random,exponential,0,LSMR,0.02435009544715285,0.00023210910307756676,86.6,0.22309331944186256,0.04627601942448203
1000,500,10,0.0,random,exponential,0,LSQR,0.024653917737305166,0.0002693902133916002,89.2,0.22309331944184801,0.04627601964544616
1000,2000,10,0.0,random,exponential,0,CG,0.09707870185375214,0.001460602998108515,83.2,2.930012876535045e-07,0.7110064738908449
1000,2000,10,0.0,random,exponential,0,Direct,0.23010109309107066,0.003235674461595194,1.0,2.7678265251597577e-12,64.66138788075277
1000,2000,10,0.0,random,exponential,0,LSMR,0.06563078984618187,0.0006702246996015238,75.2,1.926548087702596e-06,0.7110064736061321
1000,2000,10,0.0,random,exponential,0,LSQR,0.0648728758096695,0.0003497206945380616,74.0,1.909445896869561e-06,0.7110064735810415
1000,2500,10,0.0,random,exponential,0,CG,0.15800532745197415,0.0010622858194720042,83.2,2.9242836269713217e-07,0.7765776899667503
1000,2500,10,0.0,random,exponential,0,Direct,0.4022190870717168,0.001279913814157209,1.0,7.594153269712423e-12,189.517970050994
1000,2500,10,0.0,random,exponential,0,LSMR,0.0864621608518064,0.0004726311167106108,75.4,1.8401904455842051e-06,0.7765776898805732
1000,2500,10,0.0,random,exponential,0,LSQR,0.085333261359483,0.0006969393263951076,74.0,1.9023950699198634e-06,0.7765776900035064
1100,50,10,0.0,random,exponential,0,CG,0.0008432364091277122,1.9320484293433875e-05,51.0,0.32279720403277345,0.0415890751229799
1100,50,10,0.0,random,exponential,0,Direct,0.0004232048988342285,3.220481667408328e-05,1.0,0.32279720403276346,0.041589074650176264
1100,50,10,0.0,random,exponential,0,LSMR,0.00359136201441288,6.409149784041816e-05,51.4,0.3227972040327719,0.04158906667373115
1100,50,10,0.0,random,exponential,0,LSQR,0.00345313660800457,0.00012974896134035487,52.2,0.32279720403276746,0.04158907313120553
